label;HI1;HI3;HI5;HI7;HI9;HI11
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
BlenderKipas;99.57;7.39;3.74;2.55;1.2;0.77
BlenderKipas;99.54;7.64;3.79;2.7;1.99;0.53
BlenderKipas;99.56;7.57;3.32;1.64;0.95;1.27
BlenderKipas;99.5;8.27;3.19;1.22;1.03;1.4
BlenderKipas;99.51;8.06;2.98;2.49;1.43;1.39
BlenderKipas;99.55;7.46;3.61;1.56;2.75;1.01
BlenderKipas;99.45;8.1;2.5;2.83;1.39;1.29
BlenderKipas;99.52;7.16;2.93;3.12;1.45;0.36
BlenderKipas;99.51;7.35;3.77;2.42;1.96;1.14
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
BlenderKipas;0;0;0;0;0;0
BlenderKipas;99.65;7.03;3.29;2.17;1.44;0.64
BlenderKipas;99.49;7.38;2.97;3.36;1.16;1.62
BlenderKipas;99.49;7.73;2.7;3.15;1.66;0.36
BlenderKipas;99.63;7.33;3.25;2.09;1.29;1.22
BlenderKipas;99.6;6.77;3.2;2.48;2.25;0.71
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
BlenderKipas;0;0;0;0;0;0
BlenderKipas;99.63;7.3;3.35;2.08;1.24;0.88
BlenderKipas;99.61;7.26;3.77;2.03;1.02;1.28
BlenderKipas;99.59;7.63;3.54;2.31;1.53;1.09
BlenderKipas;99.56;7.75;4.05;1.97;2.06;0.75
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
BlenderKipas;0;0;0;0;0;0
BlenderKipas;99.64;6.9;2.93;1.72;1.64;0.95
BlenderKipas;99.49;7.99;2.58;3.1;1.04;0.91
BlenderKipas;99.59;7.62;3.43;1.92;1.74;1.41
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Pemanas AirKipas;0;0;0;0;0;0
Pemanas AirKipas;99.86;4.51;1.7;1.07;1.19;0.63
Pemanas AirKipas;99.86;4.5;1.76;1.01;1.25;0.54
Pemanas AirKipas;99.87;4.49;1.56;1.16;1.19;0.61
Pemanas AirKipas;99.87;4.25;1.84;0.97;1.24;0.51
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Pemanas AirKipas;0;0;0;0;0;0
Pemanas AirKipas;99.87;4.5;1.49;0.88;1.19;0.36
Pemanas AirKipas;99.86;4.37;1.85;1.19;1.04;0.48
Pemanas AirKipas;99.85;4.59;1.54;1.33;1.16;0.59
Pemanas AirKipas;99.87;4.4;1.64;1.05;0.83;0.84
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Pemanas AirKipas;0;0;0;0;0;0
Pemanas AirKipas;99.87;4.26;1.39;1.3;1.06;0.55
Pemanas AirKipas;99.86;4.53;1.64;1.13;1.12;0.76
Pemanas AirKipas;99.85;4.62;1.6;1.29;1.35;0.68
Pemanas AirKipas;99.87;4.33;1.67;1.11;1.37;0.63
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Pemanas AirKipas;0;0;0;0;0;0
Pemanas AirKipas;99.86;4.47;1.79;1.18;1.37;0.75
Pemanas AirKipas;99.84;4.57;1.86;1.39;1.01;0.82
Pemanas AirKipas;99.87;4.41;1.76;1.01;1.3;0.44
Pemanas AirKipas;99.87;4.56;1.61;0.9;0.92;0.62
Pemanas AirKipas;99.86;4.5;1.6;1.2;1.34;0.5
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Pemanas AirKipas;0;0;0;0;0;0
Pemanas AirKipas;99.87;4.42;1.6;1.17;1.05;0.6
Pemanas AirKipas;99.86;4.71;1.73;1.05;0.89;0.47
Pemanas AirKipas;99.86;4.58;1.6;1.33;1.25;0.47
Pemanas AirKipas;99.86;4.51;1.68;0.83;1.08;0.54
Pemanas AirKipas;99.86;4.59;1.62;1.25;1.3;0.82
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
HairdryerBlenderKipas;0;0;0;0;0;0
HairdryerBlenderKipas;99.77;4.97;2.79;2.03;1.48;0.89
HairdryerBlenderKipas;99.83;4.81;2.52;1.31;1.41;0.59
HairdryerBlenderKipas;99.86;3.97;2.49;1.23;1.65;0.75
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
HairdryerBlenderKipas;99.79;5.25;2.47;1.74;1.14;0.83
HairdryerBlenderKipas;99.81;4.91;2.39;1.66;1.18;0.46
HairdryerBlenderKipas;99.82;4.78;2.59;1.43;0.9;0.53
HairdryerBlenderKipas;99.8;5.03;2.6;1.04;1.59;0.57
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
HairdryerBlenderKipas;0;0;0;0;0;0
HairdryerBlenderKipas;99.83;4.7;2.52;1.39;1.25;0.6
HairdryerBlenderKipas;99.8;5.01;2.37;1.79;1.12;0.6
HairdryerBlenderKipas;99.82;4.79;2.84;1.21;1.39;0.56
HairdryerBlenderKipas;99.81;5.04;2.64;1.03;1.27;0.84
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
Kosong;0;0;0;0;0;0
